Рыбы
Морская лисица (Колючий скат, Шиповатый скат) 
Морская малоротая корюшка 
Морская щучья собачка 
Морской ворон 
Морской дракон 
Морской карась (Ласкирь) 
Морской конек 
Морской конек-тряпичник 
Морской кот 
Морской угорь (Конгер) 
Морской язык (Европейская солея) 
Мохтик 
Мраморная форель 
Муксун 
Н
Навага (Дальневосточная навага) 
Налим 
Наполеон 
Нельма 
Нерка 
Нетопырь Дарвина 
Нильская тиляпия 
Нильский окунь 
О
Обыкновенная каспийская тюлька 
Обыкновенная луна-рыба 
Обыкновенная морская лисица (Акула-лисица, Лисья акула) 
Обыкновенная морская собачка 
Обыкновенная плотва 
Обыкновенная рыба-белка 
Обыкновенная рыба-сабля 
Обыкновенная щиповка 
Обыкновенный валёк 
Обыкновенный верхогляд 
Обыкновенный вьюн 
Обыкновенный гольян 
Обыкновенный пескарь 
Обыкновенный подуст 
Обыкновенный серебристый горбыль 
Обыкновенный сиг 
Обыкновенный солнечник 
Обыкновенный сом 
Обыкновенный тунец 
Обыкновенный усач (Марена) 
Обыкновенный чоп 
Однорогая рыба-носорог 
Озерный голец-кристивомер 
Олюторская сельдь 
Омуль (Арктический омуль) 
Ошибень 
П
Палтус синекорый (черный) 
Парусник 
Патагонский клыкач 
Пеликановидный большерот 
Пелядь 
Персидский осетр 
Перуанский анчоус 
Пестрый толстолобик 
Пикша 
Пиленгас (Пеленгас) 
Пинагор (Рыба-воробей) 
Подкаменщик обыкновенный 
Полосатая зубатка 
Полосатый ёрш 
Полосатый тунец 
Психоделическая рыба-лягушка 
Пыжьян 
Пятнистая зубатка 
Р
Радужная форель (Микижа) 
Ремень (Сельдяной король) 
Речная камбала 
Речная минога 
Речной окунь 
Речной угорь 
Рипус 
Рогозуб (Баррамунда) 
Ротан 
Русская быстрянка 
Русский осетр 
Рыба-ананас (Австралийский шишечник) 
Рыба-жаба 
Рыба-кабан 
Рыба-крокодил (Пятнистый плоскоголов) 
Рыба-лоцман 
Рыба-лягушка (Аптоцикл) 
Рыба-пила 
Рыба-топорик 
Рыба-тренога 
Рыба-флейта 
Рыбец (Сырть, Вимба) 
С
Саворин 
Сазан 
Сайда 
Сайка 
Сайра 
Салака 
Сарган 
Сахалинский осетр 
Сахалинский таймень 
Севанская форель (Ишхан) 
Северная путассу 
Северный морской окунь 
Северный одноперый терпуг 
Севрюга 
Сельдь залом (Сельдь Кесслера) 
Серая тригла (Морской петух) 
Серебристая сайда (Поллака) 
Серебристый хек 
Серебряный карась 
Сиамский карп 
Сибас (Лаврак) 
Сибирская ряпушка 
Сибирский осетр 
Сибирский хариус 
Сима 
Сингиль 
Синеперый балистод (Триггер) 
Синец 
Синяя зубатка 
Скумбриевидный гидролик (Рыба-вампир, Паяра) 
Снеток 
Сом Солдатова 
Сопа (Белоглазка) 
Средиземноморский долгопёр 
Старая жена 
Стерлядь 
Судак морской 
Судак обыкновенный 
Т
Таймень 
Тарань 
Тихоокеанская сельдь 
Тихоокеанская треска 
Тихоокеанский белокорый палтус 
Тихоокеанский голубой тунец 
Тихоокеанский осетр 
Трегубка 
Трехиглая колюшка 
Тугун (Тугунок) 
Тупорылый осетр 
Тюрбо 
У
Угольная рыба 
Уклейка 
Усатый голец (Обыкновенный голец) 
Ф
Форель ручьевая 
Ч
Чавыча 
Чебак (Сибирская плотва) 
Черная щука 
Чернобрюхий удильщик 
Черноморская килька 
Черноморская кумжа 
Черноморская скорпена-ёрш (Черноморский морской ёрш) 
Черноморская ставрида 
Черноморский калкан 
Черноморский катран 
Черноморско-азовская проходная сельдь 
Черноморско-каспийская тюлька 
Чёрноперый тунец 
Чёрный амур (Китайская плотва) 
Черный буффало 
Чёрный горбыль 
Черный живоглот 
Черный карп 
Чёрный конгрио (Креветочная рыба) 
Черный лещ 
Черный марлин 
Черный морской окунь 
Чехонь 
Чилийско-перуанская мерлуза 
Чир (Щекур) 
Ш
Шемая (Шамайка) 
Шип 
Щ
Щука обыкновенная 
Щука-маскинонг 
Э
Электрический сом 
Электрический угорь 
Эсколар 
Ю
Южноевропейская атерина 
Южный тунец 
Я
Язь 
Якутский карась 
Янтарная форель 
Японская скумбрия 
Японский белый карась 
Тилапия
Кефаль
